timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1638761628245,165,HTTP Request API Users GetNet,200,,Thread Group 1-6,text,true,,745,155,10,10,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,165,0,0
1638761628290,169,HTTP Request API Users GetNet,200,,Thread Group 1-1,text,true,,745,155,10,10,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,168,0,0
1638761628290,169,HTTP Request API Users GetNet,200,,Thread Group 1-3,text,true,,745,155,10,10,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,168,0,0
1638761628290,169,HTTP Request API Users GetNet,200,,Thread Group 1-8,text,true,,745,155,10,10,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,169,0,0
1638761628326,165,HTTP Request API Users GetNet,200,,Thread Group 1-10,text,true,,745,155,10,10,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,165,0,0
1638761628326,165,HTTP Request API Users GetNet,200,,Thread Group 1-5,text,true,,745,155,10,10,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,165,0,0
1638761628343,164,HTTP Request API Users GetNet,200,,Thread Group 1-7,text,true,,745,155,10,10,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,164,0,0
1638761628349,167,HTTP Request API Users GetNet,200,,Thread Group 1-2,text,true,,745,155,10,10,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,166,0,0
1638761628378,168,HTTP Request API Users GetNet,200,,Thread Group 1-9,text,true,,745,155,10,10,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,168,0,0
1638761628411,164,HTTP Request API Users GetNet,200,,Thread Group 1-6,text,true,,745,155,10,10,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,164,0,0
1638761628411,173,HTTP Request API Users GetNet,200,,Thread Group 1-4,text,true,,745,155,10,10,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,173,0,0
1638761628460,167,HTTP Request API Users GetNet,200,,Thread Group 1-8,text,true,,745,155,10,10,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,167,0,0
1638761628460,167,HTTP Request API Users GetNet,200,,Thread Group 1-1,text,true,,745,155,10,10,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,167,0,0
1638761628460,167,HTTP Request API Users GetNet,200,,Thread Group 1-3,text,true,,745,155,10,10,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,167,0,0
1638761628492,168,HTTP Request API Users GetNet,200,,Thread Group 1-5,text,true,,745,155,9,9,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,167,0,0
1638761628492,168,HTTP Request API Users GetNet,200,,Thread Group 1-10,text,true,,745,155,9,9,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,167,0,0
1638761628516,159,HTTP Request API Users GetNet,200,,Thread Group 1-2,text,true,,745,155,9,9,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,159,0,0
1638761628508,167,HTTP Request API Users GetNet,200,,Thread Group 1-7,text,true,,745,155,9,9,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,167,0,0
1638761628547,165,HTTP Request API Users GetNet,200,,Thread Group 1-9,text,true,,745,155,8,8,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,165,0,0
1638761628576,163,HTTP Request API Users GetNet,200,,Thread Group 1-6,text,true,,745,155,8,8,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,163,0,0
1638761628586,173,HTTP Request API Users GetNet,200,,Thread Group 1-4,text,true,,745,155,8,8,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,173,0,0
1638761628628,163,HTTP Request API Users GetNet,200,,Thread Group 1-3,text,true,,745,155,8,8,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,163,0,0
1638761628628,163,HTTP Request API Users GetNet,200,,Thread Group 1-8,text,true,,745,155,8,8,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,163,0,0
1638761628661,165,HTTP Request API Users GetNet,200,,Thread Group 1-10,text,true,,745,155,7,7,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,165,0,0
1638761628661,165,HTTP Request API Users GetNet,200,,Thread Group 1-5,text,true,,745,155,7,7,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,165,0,0
1638761628676,161,HTTP Request API Users GetNet,200,,Thread Group 1-7,text,true,,745,155,7,7,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,160,0,0
1638761628713,164,HTTP Request API Users GetNet,200,,Thread Group 1-9,text,true,,745,155,7,7,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,163,0,0
1638761628740,164,HTTP Request API Users GetNet,200,,Thread Group 1-6,text,true,,745,155,7,7,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,164,0,0
1638761628759,162,HTTP Request API Users GetNet,200,,Thread Group 1-4,text,true,,745,155,7,7,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,162,0,0
1638761628792,165,HTTP Request API Users GetNet,200,,Thread Group 1-8,text,true,,745,155,6,6,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,165,0,0
1638761628827,164,HTTP Request API Users GetNet,200,,Thread Group 1-10,text,true,,745,155,6,6,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,164,0,0
1638761628827,164,HTTP Request API Users GetNet,200,,Thread Group 1-5,text,true,,745,155,6,6,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,164,0,0
1638761628838,165,HTTP Request API Users GetNet,200,,Thread Group 1-7,text,true,,745,155,5,5,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,164,0,0
1638761628878,163,HTTP Request API Users GetNet,200,,Thread Group 1-9,text,true,,745,155,5,5,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,162,0,0
1638761628905,166,HTTP Request API Users GetNet,200,,Thread Group 1-6,text,true,,745,155,5,5,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,166,0,0
1638761628959,179,HTTP Request API Users GetNet,200,,Thread Group 1-8,text,true,,745,155,4,4,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,163,0,0
1638761628992,164,HTTP Request API Users GetNet,200,,Thread Group 1-10,text,true,,745,155,4,4,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,164,0,0
1638761629004,164,HTTP Request API Users GetNet,200,,Thread Group 1-7,text,true,,745,155,4,4,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,164,0,0
1638761629042,162,HTTP Request API Users GetNet,200,,Thread Group 1-9,text,true,,745,155,3,3,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,162,0,0
1638761629139,168,HTTP Request API Users GetNet,200,,Thread Group 1-8,text,true,,745,155,3,3,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,168,0,0
1638761629157,187,HTTP Request API Users GetNet,200,,Thread Group 1-10,text,true,,745,155,2,2,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,187,0,0
1638761629204,158,HTTP Request API Users GetNet,200,,Thread Group 1-9,text,true,,745,155,2,2,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,157,0,0
1638761629345,165,HTTP Request API Users GetNet,200,,Thread Group 1-10,text,true,,745,155,1,1,http://ec2-54-211-213-172.compute-1.amazonaws.com:8080/users,165,0,0
